"","year","president","pres_party","congress","congress_party","title","document","date","topic","senate_action"
"1",1949,"Truman","D",81,"D","Convention Concerning Freedom of Association and Protection of the Right to Organize","Treaty Document: 81-19",1949-08-27,"Labor","Latest Senate Action:08/27/1949 - Received in the Senate and referred to the Committee on Foreign Relations by unanimous consent. (All Actions)    "
"2",1949,"Truman","D",81,"D","International Convention on the Prevention and Punishment of the Crime of Genocide","Treaty Document: 81-15",1949-06-16,"Human Rights","02/19/1986 - Treaty moved through its parliamentary stages, and resolution of ratification considered; with eight committee-reported provisos agreed to. Approved 83-11 by a roll call vote (No. 15 Ex.). Calendar No. 2. (All Actions)"
"3",1950,"Truman","D",81,"D",NA,NA,NA,NA,NA
"4",1951,"Truman","D",82,"D",NA,NA,NA,NA,NA
"5",1952,"Truman","D",82,"D",NA,NA,NA,NA,NA
"6",1953,"Eisenhower","R",83,"R",NA,NA,NA,NA,NA
"7",1954,"Eisenhower","R",83,"R",NA,NA,NA,NA,NA
"8",1955,"Eisenhower","R",84,"D",NA,NA,NA,NA,NA
"9",1956,"Eisenhower","R",84,"D",NA,NA,NA,NA,NA
"10",1957,"Eisenhower","R",85,"D",NA,NA,NA,NA,NA
"11",1958,"Eisenhower","R",85,"D",NA,NA,NA,NA,NA
"12",1959,"Eisenhower","R",86,"D","Law of the Sea--Optional Protocol Concerning the Compulsory Settlement of Disputes","Treaty Document: 86-14",1959-09-09,"Dispute Settlement and Arbitration","10/13/2000 - Returned to the President pursuant to S. Res. 267 agreed to in Senate on October 12, 2000. (All Actions)"
"13",1960,"Eisenhower","R",86,"D",NA,NA,NA,NA,NA
"14",1961,"Kennedy","D",87,"D",NA,NA,NA,NA,NA
"15",1962,"Kennedy","D",87,"D","Labor Convention (No. 116)","Treaty Document: 87-17",1962-06-21,"Labor","Latest Senate Action:06/21/1962 - Received in the Senate and referred to the Committee on Foreign Relations by unanimous consent. (All Actions)    "
